Дата;Маршрут;Тип груза;ТС;Цена;Валюта;Комментарий
2026-04-27;Минск, Беларусь → Санкт-Петербург, Россия;Одежда;Рефрижератор 20т;1714.93;EUR;
2026-04-27;Минск, Беларусь → Новосибирск, Россия;Химия;Фура 10т;3665.50;EUR;
2026-04-27;Минск, Беларусь → Смоленск, Россия;Химия;Рефрижератор 20т;937.32;EUR;
2026-04-27;Минск, Беларусь → Новосибирск, Россия;FMCG;Рефрижератор 20т;3592.72;EUR;
2026-04-26;Минск, Беларусь → Смоленск, Россия;Стройматериалы;Рефрижератор 20т;914.19;EUR;
2026-04-26;Минск, Беларусь → Казань, Россия;Стройматериалы;Рефрижератор 20т;2040.87;EUR;
2026-04-26;Минск, Беларусь → Смоленск, Россия;Стройматериалы;Рефрижератор 20т;901.92;EUR;
2026-04-26;Минск, Беларусь → Смоленск, Россия;FMCG;Фура 10т;946.03;EUR;
2026-04-26;Минск, Беларусь → Москва, Россия;Мебель;Фура 10т;1544.65;EUR;
2026-04-26;Минск, Беларусь → Казань, Россия;Продукты;Тентованный 20т;2340.96;EUR;
2026-04-25;Минск, Беларусь → Москва, Россия;FMCG;Фура 20т;1480.00;EUR;
2026-04-25;Минск, Беларусь → Новосибирск, Россия;Одежда;Фура 20т;3508.56;EUR;
2026-04-25;Минск, Беларусь → Москва, Россия;FMCG;Фура 20т;1480.00;EUR;
2026-04-25;Минск, Беларусь → Москва, Россия;FMCG;Фура 20т;1480.00;EUR;
2026-04-25;Минск, Беларусь → Москва, Россия;FMCG;Фура 20т;1480.00;EUR;
2026-04-25;Минск, Беларусь → Москва, Россия;FMCG;Фура 20т;1480.00;EUR;
2026-04-25;?????, ???????? → ??????, ??????;FMCG;;1480.00;EUR;
2026-04-25;?????, ???????? → ??????, ??????;FMCG;;1480.00;EUR;
2026-04-25;?????, ???????? → ??????, ??????;FMCG;;1480.00;EUR;
2026-04-25;?????, ???????? → ??????, ??????;FMCG;;1480.00;EUR;
2026-04-25;Брест, Беларусь → Москва, Россия;Химия;Тентованный 20т;1583.27;EUR;
2026-04-25;Минск, Беларусь → Казань, Россия;FMCG;Фура 20т;2272.62;EUR;
2026-04-24;Брест, Беларусь → Москва, Россия;Металл;Фура 20т;1698.01;EUR;
2026-04-24;Брест, Беларусь → Москва, Россия;Продукты;Фура 20т;1465.30;EUR;
2026-04-24;Минск, Беларусь → Санкт-Петербург, Россия;Одежда;Рефрижератор 20т;1653.09;EUR;
2026-04-23;Минск, Беларусь → Новосибирск, Россия;Продукты;Фура 20т;3361.69;EUR;
2026-04-23;Минск, Беларусь → Санкт-Петербург, Россия;Одежда;Тентованный 20т;1757.23;EUR;
2026-04-23;Минск, Беларусь → Москва, Россия;Продукты;Тентованный 20т;1446.71;EUR;
2026-04-23;Минск, Беларусь → Санкт-Петербург, Россия;FMCG;Фура 10т;1751.88;EUR;
2026-04-23;Брест, Беларусь → Москва, Россия;FMCG;Рефрижератор 20т;1647.56;EUR;
2026-04-23;Минск, Беларусь → Смоленск, Россия;Продукты;Рефрижератор 20т;869.80;EUR;
2026-04-23;Минск, Беларусь → Екатеринбург, Россия;FMCG;Фура 10т;2539.47;EUR;
2026-04-23;Минск, Беларусь → Смоленск, Россия;Стройматериалы;Тентованный 20т;880.52;EUR;
2026-04-22;Минск, Беларусь → Екатеринбург, Россия;Химия;Фура 20т;2724.99;EUR;
2026-04-22;Минск, Беларусь → Санкт-Петербург, Россия;Продукты;Фура 10т;1770.21;EUR;
2026-04-22;Минск, Беларусь → Казань, Россия;Стройматериалы;Рефрижератор 20т;2111.77;EUR;
2026-04-21;Минск, Беларусь → Екатеринбург, Россия;Химия;Фура 20т;2681.30;EUR;
2026-04-21;Брест, Беларусь → Москва, Россия;Стройматериалы;Фура 20т;1586.94;EUR;
2026-04-21;Брест, Беларусь → Москва, Россия;FMCG;Тентованный 20т;1569.70;EUR;
2026-04-20;Брест, Беларусь → Москва, Россия;Химия;Фура 10т;1433.88;EUR;
2026-04-20;Минск, Беларусь → Казань, Россия;Стройматериалы;Рефрижератор 20т;2182.41;EUR;
2026-04-20;Минск, Беларусь → Екатеринбург, Россия;FMCG;Фура 10т;2538.69;EUR;
2026-04-20;Минск, Беларусь → Москва, Россия;Продукты;Тентованный 20т;498.28;EUR;
2026-04-19;Минск, Беларусь → Москва, Россия;Мебель;Фура 10т;518.19;EUR;
2026-04-19;Минск, Беларусь → Новосибирск, Россия;Мебель;Рефрижератор 20т;3602.40;EUR;
2026-04-18;Минск, Беларусь → Санкт-Петербург, Россия;Мебель;Фура 10т;1746.52;EUR;
2026-04-18;Минск, Беларусь → Москва, Россия;Продукты;Фура 20т;1357.47;EUR;
2026-04-18;Минск, Беларусь → Москва, Россия;Продукты;Фура 10т;594.04;EUR;
2026-04-18;Минск, Беларусь → Москва, Россия;Металл;Фура 20т;1315.57;EUR;
2026-04-18;Минск, Беларусь → Екатеринбург, Россия;Металл;Фура 10т;2623.24;EUR;
2026-04-18;Минск, Беларусь → Санкт-Петербург, Россия;FMCG;Тентованный 20т;1590.75;EUR;
2026-04-17;Минск, Беларусь → Екатеринбург, Россия;Одежда;Фура 20т;2694.91;EUR;
2026-04-17;Минск, Беларусь → Новосибирск, Россия;Металл;Рефрижератор 20т;3293.72;EUR;
2026-04-16;Минск, Беларусь → Казань, Россия;Продукты;Фура 20т;2269.24;EUR;
2026-04-16;Минск, Беларусь → Казань, Россия;Продукты;Фура 10т;2016.78;EUR;
2026-04-16;Минск, Беларусь → Москва, Россия;FMCG;Фура 10т;1566.52;EUR;
2026-04-16;Минск, Беларусь → Новосибирск, Россия;Металл;Тентованный 20т;3203.96;EUR;
2026-04-16;Минск, Беларусь → Москва, Россия;Продукты;Фура 10т;697.49;EUR;
2026-04-15;Минск, Беларусь → Казань, Россия;Химия;Тентованный 20т;2027.90;EUR;
2026-04-15;Минск, Беларусь → Санкт-Петербург, Россия;Стройматериалы;Фура 10т;1731.66;EUR;
2026-04-15;Минск, Беларусь → Новосибирск, Россия;Металл;Рефрижератор 20т;3345.67;EUR;
2026-04-15;Брест, Беларусь → Москва, Россия;Одежда;Рефрижератор 20т;1722.54;EUR;
2026-04-15;Минск, Беларусь → Москва, Россия;Продукты;Фура 20т;541.87;EUR;
2026-04-15;Минск, Беларусь → Смоленск, Россия;Одежда;Тентованный 20т;840.71;EUR;
2026-04-14;Минск, Беларусь → Новосибирск, Россия;FMCG;Фура 10т;3307.33;EUR;
2026-04-14;Брест, Беларусь → Москва, Россия;Одежда;Рефрижератор 20т;1454.77;EUR;
2026-04-14;Минск, Беларусь → Смоленск, Россия;FMCG;Фура 10т;890.19;EUR;
2026-04-14;Брест, Беларусь → Москва, Россия;Одежда;Рефрижератор 20т;1721.60;EUR;
2026-04-14;Минск, Беларусь → Смоленск, Россия;Одежда;Тентованный 20т;931.25;EUR;
2026-04-13;Минск, Беларусь → Новосибирск, Россия;Одежда;Фура 10т;3430.17;EUR;
2026-04-13;Минск, Беларусь → Екатеринбург, Россия;Одежда;Рефрижератор 20т;2768.06;EUR;
2026-04-13;Минск, Беларусь → Москва, Россия;Мебель;Рефрижератор 20т;554.09;EUR;
2026-04-13;Минск, Беларусь → Смоленск, Россия;Продукты;Рефрижератор 20т;926.79;EUR;
2026-04-13;Минск, Беларусь → Казань, Россия;Одежда;Тентованный 20т;2198.38;EUR;
2026-04-13;Минск, Беларусь → Смоленск, Россия;Металл;Фура 20т;806.49;EUR;
2026-04-13;Минск, Беларусь → Санкт-Петербург, Россия;Одежда;Фура 10т;1593.25;EUR;
2026-04-12;Брест, Беларусь → Москва, Россия;Одежда;Фура 20т;1615.67;EUR;
2026-04-12;Минск, Беларусь → Москва, Россия;Металл;Фура 10т;1359.32;EUR;
2026-04-12;Минск, Беларусь → Москва, Россия;Стройматериалы;Фура 10т;1435.07;EUR;
2026-04-12;Минск, Беларусь → Москва, Россия;Стройматериалы;Рефрижератор 20т;1462.89;EUR;
2026-04-11;Минск, Беларусь → Казань, Россия;Химия;Рефрижератор 20т;2073.95;EUR;
2026-04-11;Минск, Беларусь → Екатеринбург, Россия;Металл;Фура 10т;2485.16;EUR;
2026-04-11;Брест, Беларусь → Москва, Россия;Одежда;Фура 20т;1645.24;EUR;
2026-04-10;Минск, Беларусь → Екатеринбург, Россия;Одежда;Фура 10т;2568.42;EUR;
2026-04-10;Минск, Беларусь → Новосибирск, Россия;Химия;Фура 10т;3241.23;EUR;
2026-04-10;Минск, Беларусь → Москва, Россия;Химия;Фура 10т;479.81;EUR;
2026-04-10;Брест, Беларусь → Москва, Россия;Стройматериалы;Фура 20т;1456.50;EUR;
2026-04-10;Минск, Беларусь → Санкт-Петербург, Россия;Продукты;Фура 10т;1793.08;EUR;
2026-04-10;Брест, Беларусь → Москва, Россия;Химия;Рефрижератор 20т;1629.48;EUR;
2026-04-09;Минск, Беларусь → Москва, Россия;Стройматериалы;Рефрижератор 20т;628.59;EUR;
2026-04-09;Минск, Беларусь → Москва, Россия;FMCG;Тентованный 20т;1484.91;EUR;
2026-04-09;Минск, Беларусь → Смоленск, Россия;Продукты;Фура 10т;863.62;EUR;
2026-04-09;Минск, Беларусь → Санкт-Петербург, Россия;Химия;Фура 20т;1605.73;EUR;
2026-04-09;Брест, Беларусь → Москва, Россия;Продукты;Рефрижератор 20т;1480.31;EUR;
